,tweet_id,favorites,retweets
1391,767191397493538821,12985,4114
1392,767500508068192258,7918,2523
1393,767754930266464257,16968,5817
1394,767884188863397888,5031,1517
1395,768193404517830656,11549,3831
1396,768473857036525572,14452,3709
1397,768596291618299904,5313,1380
1398,768609597686943744,4352,1310
1399,768855141948723200,4441,961
1400,768970937022709760,15263,7082
1401,769212283578875904,5714,1853
1402,769695466921623552,6765,1792
1403,769940425801170949,33321,10448
1404,770069151037685760,8044,2492
1405,770093767776997377,0,3288
1406,770293558247038976,6610,1609
1407,770414278348247044,6667,2234
1408,770655142660169732,7763,1885
1409,770772759874076672,5498,1530
1410,770787852854652928,5244,1320
1411,771004394259247104,0,237
1412,771014301343748096,7278,1797
1413,771102124360998913,6615,1556
1414,771136648247640064,9724,3181
1415,771171053431250945,0,8191
1416,771380798096281600,11155,5524
1417,771500966810099713,8780,2844
1418,771770456517009408,12719,3680
1419,772102971039580160,4246,1005
1420,772114945936949249,2878,511
1421,772117678702071809,3982,797
1422,772152991789019136,4005,1212
1423,772193107915964416,6381,1498
1424,772581559778025472,6868,1830
1425,772615324260794368,0,3658
1426,772826264096874500,8478,2527
1427,772877495989305348,9106,4198
1428,773191612633579521,10589,4451
1429,773247561583001600,9990,3487
1430,773308824254029826,24673,8100
1431,773547596996571136,23451,6686
1432,773670353721753600,5641,1404
1433,773704687002451968,7004,1765
1434,773922284943896577,6788,1875
1435,773985732834758656,11392,4207
1436,774314403806253056,23117,6048
1437,774639387460112384,7129,1875
1438,774757898236878852,9076,1921
1439,775085132600442880,16507,5132
1440,775364825476165632,7886,3227
1441,775729183532220416,13731,4966
1442,775733305207554048,14710,4351
1443,775842724423557120,12443,2903
1444,775898661951791106,0,17842
1445,776088319444877312,1942,165
1446,776113305656188928,12480,4727
1447,776201521193218049,10202,2737
1448,776218204058357768,31908,17351
1449,776477788987613185,9401,3036
1450,776813020089548800,5180,1318
1451,776819012571455488,0,14951
1452,777189768882946048,15229,4704
1453,777621514455814149,9320,2707
1454,777641927919427584,0,4623
1455,777684233540206592,11937,3204
1456,777885040357281792,6764,1784
1457,778027034220126208,6970,1762
1458,778039087836069888,9009,2864
1459,778286810187399168,11057,3591
1460,778383385161035776,6214,1205
1461,778396591732486144,0,13320
1462,778408200802557953,14530,4730
1463,778624900596654080,4941,1098
1464,778650543019483137,6137,1624
1465,778748913645780993,7337,1446
1466,778990705243029504,21300,7904
1467,779056095788752897,15738,4923
1468,779123168116150273,12554,3966
1469,779377524342161408,9381,3388
1470,779834332596887552,20196,7722
1471,780192070812196864,9266,2434
1472,780459368902959104,5625,1164
1473,780476555013349377,0,126
1474,780496263422808064,0,4042
1475,780543529827336192,6714,1885
1476,780601303617732608,12871,3630
1477,780800785462489090,5855,1414
1478,780858289093574656,7667,2179
1479,780931614150983680,23054,7998
1480,781163403222056960,10400,2982
1481,781251288990355457,8982,2287
